"class_commands",commands,user
"'|tstats max(all_statistics.confirmed.value) as count from datamodel=corona_virus by  all_statistics.country  |lookup all_countries_location.csv Country AS all_statistics.country  OUTPUT Country, ""IP Address"" as dest |search Country=""Sierra Leone"" OR Country=Liberia OR Country=Guinea |iplocation dest |geostats sum(count) by Country globallimit=0'",tstats,admin
"'| eval commands=""bl ""'",eval,admin
"'| makeresults annotate=t 
| eval commands="" ""'",makeresults,admin
"'search index=access_index 
| rex field=src_ip (?<CIDR_A>\d+)
| rex field=src_ip \d+\.(?<CIDR_B>\d+)
| rex field=src_ip \d+\.\d+\.(?<CIDR_C>\d+)'",rex,admin
"'| metadata type=sourcetypes | search totalCount > 0'",metadata,admin
"| history*",history,admin
"'| inputlookup ""production_users.csv"" | rename users as users_firstname'",inputlookup,admin
"'| noop | sendemail ""results_link=https://prod-openpathus:443/app/salone_app/@go?sid="" ""ssname=_ScheduledView__covid_breakdown"" ""graceful=True"" ""trigger_time="" maxinputs=""10000"" maxtime=""60m"" results_file=""/opt/splunk/var/run/splunk/dispatch/results.srs.zst"" ""is_stream_malert=False"" '",noop,admin
