guid,hostname,"forwarder_type",version,arch,os,status,"last_connected","sum_kb","avg_tcp_kbps_sparkline","avg_tcp_kbps","avg_tcp_eps"
"01C0CC93-EBA2-484D-8DA4-72A2289E3F21","OPENPATH-AD01",uf,"8.0.3",x64,Windows,active,"1597366896.204","558.51","##__SPARKLINE__## 0.612346 0.612604 0.614682 0.615064 0.615638 0.615854 0.616181 0.617426 0.618034 0.619188 0.622872 0.628055 0.628120 0.635272 0.643020","0.62","0.28"
"0C0923FD-202A-4BCF-BBED-1328C41FC034","test_2",uf,"7.1.6","x86_64",Linux,missing,"1596391867.153",,,,
"14270D6C-0D9E-4FF3-8848-5941DF324E4C","Patricks-MacBook-Pro.local",full,"7.1.1","x86_64",Darwin,missing,"1596480154.245",,,,
"17623884-88FB-4B75-ACBA-01D4385E630D","ip-172-31-39-205.ec2.internal",uf,"7.1.6","x86_64",Linux,missing,"1596480154.245",,,,
"3A773842-4665-4DB2-BBB0-C9BC16051DF4","mireille_forwarder",uf,"8.0.3","x86_64",Linux,missing,"1596480154.245",,,,
"50BFF7B7-BBF6-40C1-B35D-49F339000977","prod-openpathus.com",full,"8.0.2.1","x86_64",Linux,active,"1597366896.204","46473.32","##__SPARKLINE__## 35.451455 40.135380 40.379200 46.473965 50.421095 50.893662 50.912661 51.300576 51.676434 52.086148 52.147502 52.502097 55.356174 55.854345 56.790865","48.76","87.39"
"595D7BCD-9292-488F-93F2-B45FFA23960F","ip-172-31-90-47.ec2.internal",full,"8.0.5","x86_64",Linux,missing,"1595998199.320",,,,
"595D7BCD-9292-488F-93F2-B45FFA23960F","rufus_server",full,"8.0.5","x86_64",Linux,missing,"1596480154.245",,,,
"5F827877-591F-434B-B491-17AD23777FC7",mimisplunk,uf,"8.0.3","x86_64",Linux,missing,"1596480154.245",,,,
"64F2BDAF-2F21-4DBE-A1DC-555225DF13C2",Bugzylee,uf,"8.0.3","x86_64",Linux,missing,"1596480154.245",,,,
"6E440BA3-927B-448A-8C63-A90721AC92D3",onye,uf,"8.0.3","x86_64",Linux,missing,"1596480154.245",,,,
"712FB601-C093-45D2-BB68-20311946EC10","techforward_server",full,"7.3.3","x86_64",Linux,missing,"1596480154.245",,,,
"92771348-660C-42E3-A75E-A35599133E0B","DESKTOP-3LVIGSO",full,"8.0.5",x64,Windows,missing,"1596037414.321",,,,
"92771348-660C-42E3-A75E-A35599133E0B","DESKTOP-Richino",full,"8.0.5",x64,Windows,missing,"1596470761.233",,,,
"92771348-660C-42E3-A75E-A35599133E0B",Richino,full,"8.0.5",x64,Windows,missing,"1596035058.320",,,,
"92771348-660C-42E3-A75E-A35599133E0B",Richino17,full,"8.0.5",x64,Windows,missing,"1595987535.320",,,,
"9DE2D2AA-0993-421A-A8BE-AA70833803FF",ugo2,uf,"8.0.5","x86_64",Linux,missing,"1597347635.503",,,,
"A5C80BF7-A64F-4ADA-A49A-389D15D4A492","Naijkids-MacBook-Air.local",uf,"8.0.3","x86_64",Darwin,missing,"1596473427.234",,,,
"AA8341A1-F5DC-43E9-8117-D7C14664B977",splunk2,uf,"7.2.1","x86_64",Linux,missing,"1596564009.413",,,,
"C47C9B6F-391D-4A58-A484-8C3E8FCA29AA","Personal-PC",full,"8.0.5",x64,Windows,missing,"1596480154.245",,,,
"C9FB494C-E8E1-4833-AB94-B1BFE5528596",anjang,uf,"7.3.6",x64,Windows,missing,"1596480154.245",,,,
"D9027ED6-2311-49C3-B3C6-F091708D6788","ip-172-31-32-174.us-east-2.compute.internal",uf,"7.1.6","x86_64",Linux,missing,"1596480154.245",,,,
